model,val_auroc,val_auprc,val_mrr,val_hits_5,val_hits_10,val_hits_20,val_hits_50,test_auroc,test_auprc,test_mrr,test_hits_5,test_hits_10,test_hits_20,test_hits_50,train_seconds,eval_seconds,val_n_pos,test_n_pos,train_loss
main_hgat,0.9258879383607125,0.3920514336121939,0.6515457420904238,0.9397453398474676,0.9936334697589814,1.0,1.0,0.9279913192925761,0.39835138772929884,0.6546286992887954,0.9416780368801462,0.9956798526090402,1.0,1.0,0.0,8.146890878677368,,,
degree,0.7801258429407223,0.17823990566782577,0.43074615473853506,0.7361300594701502,0.9574806719489832,1.0,1.0,0.7846988406275661,0.1873056413779688,0.4408863922068616,0.7413597100157259,0.9633924527946739,1.0,1.0,0.0007166862487792969,0.9003944396972656,8796.0,8796.0,NaN
mf,0.7558157646148844,0.16954244587526718,0.4116207809137073,0.6573442458401706,0.7314688485825588,0.9935197804721175,1.0,0.7578843906243505,0.1794430337021473,0.41620221812652425,0.6566621195516461,0.7354479313113571,0.9952251026716055,1.0,25.93726682662964,1.1400229930877686,8796.0,8796.0,0.5950639015970918
